length,input,target
13,40 2 38 96 72 10 4 95 54 101 3 111 20,46
13,115 4 9 58 13 51 7 102 59 88 54 39 74,73
13,13 56 104 48 73 96 115 20 37 7 20 38 31,58
13,105 18 65 30 57 116 94 21 112 87 76 116 17,74
13,78 86 39 61 29 12 13 39 70 102 118 89 93,109
13,76 48 101 66 21 79 39 52 40 104 54 31 118,109
13,69 6 49 5 96 19 79 119 27 87 48 110 54,48
13,30 91 61 50 1 14 104 88 18 5 40 81 82,65
13,75 101 83 24 115 88 53 94 55 119 43 50 114,54
13,36 85 117 31 94 45 22 82 83 110 13 105 70,53
13,61 61 23 45 108 50 41 21 28 69 57 88 4,56
13,88 11 4 44 92 110 10 113 14 50 67 101 90,74
13,49 86 96 24 37 74 18 39 45 21 37 36 104,66
13,73 36 97 24 101 40 68 104 65 4 114 6 20,32
13,66 20 24 82 105 46 105 45 91 113 17 18 107,119
13,58 66 68 11 118 31 39 8 75 59 17 55 94,99
13,76 61 97 76 24 55 0 4 96 29 82 88 86,54
13,104 119 34 72 76 91 114 42 95 69 23 89 32,0
13,106 71 116 59 46 47 101 109 106 68 101 48 33,51
13,65 119 80 47 20 24 5 100 42 36 71 17 74,100
13,65 60 37 21 20 119 45 42 84 83 8 102 39,5
13,12 98 81 20 12 38 106 56 25 91 46 81 110,56
13,71 16 13 67 9 118 3 112 14 79 23 4 100,29
13,116 3 95 72 12 37 100 33 59 1 78 86 68,40
13,104 11 22 40 119 44 119 35 92 60 102 52 84,44
13,105 16 2 41 79 110 89 76 84 58 43 48 58,89
13,47 75 24 91 57 8 73 74 113 69 82 29 118,20
13,27 72 20 60 15 118 69 115 59 77 57 72 113,34
13,21 28 6 92 36 27 69 113 71 80 12 111 111,57
13,87 77 71 71 100 89 92 25 118 10 60 97 47,104
13,72 104 115 98 71 63 0 112 13 2 112 81 107,110
13,75 103 9 9 54 12 92 11 36 101 28 112 12,54
13,102 34 4 51 5 1 94 80 89 45 31 10 56,2
13,76 60 54 19 20 113 92 51 85 55 13 60 100,78
13,10 26 116 18 94 60 73 77 89 30 114 82 14,83
13,94 44 25 53 33 32 95 90 91 97 2 74 28,38
13,59 88 42 118 41 57 5 7 117 94 51 35 1,115
13,82 3 70 97 60 49 31 37 94 92 65 119 119,78
13,32 42 8 71 5 60 6 85 117 64 94 28 27,39
13,89 57 59 118 108 69 3 59 101 55 24 60 35,117
13,56 3 83 60 35 97 33 42 117 26 73 118 66,89
13,88 41 21 71 60 43 85 61 115 84 118 22 68,37
13,54 81 106 3 98 2 27 117 94 54 56 16 80,68
13,79 81 99 10 77 8 33 35 44 77 87 25 116,51
13,23 8 45 13 24 100 113 97 31 32 90 85 93,34
13,97 42 8 18 17 97 26 40 104 60 18 82 100,109
13,39 114 87 52 98 32 113 64 1 46 77 51 104,38
13,47 89 118 36 12 75 46 15 60 13 89 24 28,52
13,62 81 110 15 37 113 15 108 73 27 60 22 115,118
13,41 50 55 113 63 23 86 68 119 75 3 32 23,31
13,55 105 92 42 88 107 40 40 113 105 48 67 60,2
13,29 6 5 9 14 51 58 77 45 45 84 29 114,86
13,74 75 28 88 94 71 105 103 12 112 91 2 110,5
13,21 97 54 40 79 10 23 78 111 77 32 40 74,16
13,65 28 100 22 17 72 88 110 97 14 24 113 108,18
13,69 14 79 71 110 94 107 115 8 70 100 112 28,17
13,4 118 77 55 96 104 81 93 92 71 93 68 73,65
13,68 110 76 2 107 117 105 71 28 53 51 88 22,58
13,59 109 110 12 54 98 70 66 50 68 84 51 71,62
13,9 55 97 103 114 79 74 65 51 47 110 51 24,39
13,68 40 53 23 34 41 91 20 94 80 65 14 115,18
13,32 35 96 13 108 92 116 1 26 14 33 79 20,65
13,56 53 11 98 2 46 115 85 21 87 111 106 10,81
13,52 1 86 105 85 32 113 65 90 87 78 45 66,65
13,97 36 52 10 60 70 79 103 108 83 92 49 68,67
13,26 52 115 44 1 108 32 115 30 50 28 97 81,59
13,94 100 102 86 69 66 48 20 113 116 28 57 77,16
13,70 25 38 107 32 66 106 15 90 114 44 29 118,14
13,69 19 56 107 61 61 36 43 117 94 76 105 14,18
13,52 72 84 33 67 47 34 99 55 24 38 5 96,106
13,119 83 27 112 74 58 16 103 9 51 93 40 87,32
13,113 70 52 77 52 69 100 59 16 0 1 47 39,95
13,83 88 63 26 100 63 39 94 11 41 3 119 2,12
13,27 86 2 14 83 86 61 33 69 16 105 58 74,114
13,10 93 1 95 25 107 100 53 65 28 5 98 87,47
13,38 12 29 111 61 43 100 27 112 5 95 89 117,119
13,99 26 16 15 118 97 40 39 98 76 110 33 118,45
13,107 102 88 53 82 48 22 65 58 72 61 50 100,68
13,21 48 8 98 10 20 10 98 90 10 101 21 20,75
13,59 37 58 46 15 86 96 110 110 62 95 24 79,37
13,45 22 98 117 43 43 62 18 12 63 23 102 29,77
13,90 39 71 4 81 117 57 10 28 57 59 32 101,26
13,15 36 117 15 26 23 19 58 114 104 34 37 111,109
13,102 53 20 25 114 99 14 84 21 81 78 112 7,90
13,106 54 21 67 13 19 73 58 11 14 64 17 115,32
