length,input,target
14,26 98 58 73 31 48 87 54 62 108 6 11 89 17,4
14,9 16 106 113 104 32 34 81 112 80 52 8 114 93,45
14,48 67 95 62 22 24 91 45 73 90 103 32 102 39,96
14,62 118 102 85 98 13 81 99 98 21 0 30 46 3,27
14,46 90 11 116 29 41 42 88 4 114 24 36 85 91,110
14,105 98 26 117 115 7 63 62 58 55 88 62 20 47,4
14,72 39 31 37 77 116 79 34 77 58 52 94 106 42,103
14,7 83 116 13 109 77 29 114 104 114 99 18 42 4,96
14,72 0 84 99 47 101 113 15 60 116 112 102 62 0,28
14,109 57 5 114 62 115 61 90 37 106 65 62 59 66,8
14,107 86 62 17 21 78 16 91 56 36 10 29 29 27,83
14,80 44 32 99 55 4 25 90 54 57 40 80 17 117,43
14,72 111 87 18 7 45 24 16 36 49 112 19 75 61,19
14,102 3 28 94 75 95 58 61 107 37 72 13 57 24,94
14,24 110 53 81 15 99 119 26 92 103 63 93 101 113,42
14,88 87 50 33 4 13 113 88 50 23 67 21 17 12,75
14,84 29 22 60 98 32 93 97 27 104 77 118 80 109,10
14,60 33 23 111 85 73 24 74 50 19 78 35 3 104,88
14,51 57 16 117 77 82 42 55 111 83 19 27 79 110,74
14,46 31 41 102 79 94 35 65 41 57 5 117 40 111,114
14,91 15 94 34 53 106 35 25 65 44 20 24 62 109,75
14,54 19 89 42 8 119 109 15 17 98 117 27 40 63,32
14,65 58 50 111 99 70 116 86 87 5 115 109 73 20,110
14,43 112 53 65 35 50 14 117 18 71 40 43 31 47,59
14,115 42 24 87 8 63 77 67 82 51 24 61 65 18,77
14,87 57 19 50 24 26 81 116 47 70 119 112 94 58,69
14,13 12 32 81 54 56 17 30 117 24 44 87 86 28,27
14,30 71 57 96 29 39 86 92 33 51 106 87 33 30,84
14,64 29 7 33 98 2 117 57 106 32 18 20 103 26,1
14,16 67 94 13 35 39 27 112 60 84 75 0 36 48,57
14,5 94 104 65 30 105 47 11 104 62 25 47 84 50,33
14,59 114 118 84 75 54 28 76 16 49 93 93 59 115,103
14,69 45 50 14 79 57 85 24 85 107 47 30 116 13,90
14,70 113 84 7 26 76 58 59 33 100 0 38 24 29,42
14,85 39 12 36 47 111 112 102 88 17 14 14 26 15,116
14,98 51 81 93 54 37 83 3 50 101 71 3 39 29,12
14,59 73 71 11 92 60 113 52 114 33 48 11 95 39,69
14,33 75 37 58 18 78 70 5 58 28 72 99 13 72,46
14,11 23 40 20 13 26 21 74 62 112 92 93 7 6,38
14,64 115 53 27 115 44 0 94 37 91 66 53 1 34,117
14,10 20 15 54 78 30 71 47 103 70 32 100 47 94,85
14,36 35 24 46 102 24 71 97 81 106 74 117 10 101,51
14,101 89 115 98 107 2 31 81 7 17 33 19 36 37,26
14,112 66 86 13 8 80 31 36 45 30 5 119 47 118,29
14,75 64 84 1 78 79 3 110 115 9 111 69 15 108,79
14,61 39 102 48 74 16 108 5 52 75 97 38 35 43,81
14,104 70 114 54 71 38 103 55 12 113 29 34 78 88,57
14,68 61 81 2 77 8 24 90 90 62 45 70 44 69,49
14,86 60 14 17 82 99 61 113 51 106 24 105 68 101,7
14,19 31 14 51 31 16 22 4 80 49 37 116 88 86,14
14,56 70 62 87 104 34 105 90 12 65 69 39 40 110,83
14,4 47 66 2 68 96 58 39 81 52 0 1 86 7,100
14,62 34 13 7 49 23 39 108 90 40 2 41 40 52,95
14,57 113 118 58 33 91 36 38 116 61 21 105 62 16,86
14,90 19 103 100 68 27 59 100 5 33 33 52 99 73,38
14,100 82 21 24 76 4 57 97 55 98 8 109 24 69,43
14,73 17 70 70 116 109 117 16 68 100 90 99 87 112,67
14,47 14 4 119 21 96 39 30 117 47 106 92 51 10,17
14,30 108 13 34 5 59 11 17 98 53 97 55 75 14,71
14,23 47 12 114 6 45 12 104 76 99 107 6 0 105,41
14,3 73 46 48 119 7 87 70 86 15 117 99 100 118,73
14,97 62 113 29 11 106 67 87 67 119 37 7 17 49,102
14,76 11 106 43 25 73 109 67 78 93 31 7 17 79,58
14,105 100 66 33 119 36 13 97 67 86 10 68 51 109,109
14,78 59 34 14 24 72 110 3 112 61 12 105 64 33,16
14,81 19 86 79 81 110 100 4 82 85 3 8 51 17,87
14,83 75 112 112 47 107 46 72 19 74 106 12 17 90,78
14,37 106 47 112 109 1 2 34 10 98 47 5 72 40,101
14,10 64 64 91 21 117 5 114 52 52 14 1 106 24,3
14,81 73 49 97 48 0 50 111 1 62 29 29 83 26,38
14,72 5 65 38 88 64 95 84 24 54 83 59 25 76,30
14,70 68 82 110 41 67 89 7 107 117 41 116 52 87,68
14,41 71 78 96 106 100 36 39 15 44 80 80 2 62,73
14,98 112 94 30 61 59 62 38 89 7 11 65 21 81,83
14,0 40 109 9 48 31 95 54 27 95 72 67 83 109,110
14,64 6 53 113 57 3 54 80 102 23 5 72 0 37,58
14,21 8 59 119 12 10 25 53 32 57 31 98 37 55,14
14,83 117 80 83 0 39 83 10 119 71 63 4 88 39,50
14,3 56 41 23 55 105 88 79 72 61 17 115 81 49,32
14,99 115 44 83 95 9 50 1 101 23 116 116 29 35,46
14,101 90 98 70 65 15 88 103 118 55 88 36 47 25,43
14,48 33 4 62 18 67 112 2 98 2 48 71 47 58,10
14,43 70 49 38 118 98 36 74 12 5 42 49 41 107,68
14,46 36 98 47 36 89 27 104 80 54 103 102 19 43,65
14,10 88 15 34 91 67 25 105 87 57 33 32 54 82,42
14,38 95 60 114 118 25 82 104 107 80 66 25 111 16,14
14,3 34 2 60 45 86 79 76 82 76 9 21 35 102,7
14,106 85 88 26 97 17 111 7 69 47 114 85 78 0,88
14,117 30 118 33 79 90 18 55 66 83 44 119 27 4,64
14,99 25 8 19 66 9 101 18 38 118 103 50 26 20,111
14,46 91 3 68 32 98 48 117 84 38 67 99 50 14,117
14,106 7 13 65 90 3 83 39 76 118 27 99 73 112,51
14,81 13 71 100 16 49 91 115 37 29 98 90 17 76,86
14,10 113 61 78 91 87 54 35 83 47 67 22 41 64,46
14,114 40 8 92 5 81 64 16 72 108 13 100 51 75,76
14,31 63 93 55 104 108 55 92 81 40 91 38 50 61,68
14,21 55 6 38 47 18 110 101 81 104 96 86 106 83,45
14,99 11 113 25 104 93 98 37 7 96 76 82 74 36,41
14,9 67 95 116 20 34 66 32 80 87 57 49 110 26,70
14,117 87 18 65 15 63 42 88 19 39 91 75 56 96,107
14,55 5 109 15 89 97 24 101 76 85 23 34 86 19,30
14,59 17 3 108 85 100 63 2 99 78 9 34 106 84,118
14,60 60 118 69 37 117 20 117 38 118 95 92 93 119,50
14,84 74 58 6 47 84 27 12 67 21 111 15 92 21,75
14,70 81 59 0 72 74 75 28 32 89 118 83 77 83,111
14,50 1 8 92 36 60 91 4 2 13 67 7 14 55,16
14,46 88 93 116 85 48 24 14 11 47 47 2 67 22,1
14,66 97 61 106 11 71 61 61 7 18 5 110 65 16,29
14,60 49 11 98 33 44 117 50 25 3 23 26 102 36,105
14,7 106 99 43 79 62 46 68 40 60 9 26 113 61,115
14,24 31 51 113 48 34 64 65 43 8 106 71 22 45,109
14,87 74 44 101 71 106 73 71 52 79 10 83 104 103,106
14,71 70 73 28 24 102 15 97 75 105 59 100 94 37,22
14,61 109 47 103 28 27 41 10 119 47 117 99 66 107,102
14,115 89 82 14 95 94 91 72 37 37 94 87 21 28,31
14,28 43 70 31 81 49 4 68 47 34 4 80 22 117,83
14,92 37 72 9 81 107 31 74 72 52 39 79 114 62,54
14,74 48 103 36 112 66 31 1 28 37 34 46 58 68,89
14,114 65 79 114 27 21 90 72 35 46 104 50 105 60,60
14,97 117 33 39 34 110 2 101 31 47 75 119 91 61,117
14,118 77 97 34 101 77 34 56 118 87 49 115 112 79,109
14,90 16 22 69 84 27 110 71 115 104 101 69 75 75,2
14,108 116 17 48 107 20 40 72 40 48 39 55 105 83,58
14,101 114 77 38 30 66 105 65 11 21 8 106 12 116,65
14,68 1 25 3 37 56 36 44 63 105 70 40 38 58,72
14,52 39 109 87 88 15 78 84 34 66 23 61 74 113,68
14,104 7 89 1 100 72 98 34 1 24 30 54 103 3,20
14,53 32 78 77 0 84 27 105 7 104 58 74 13 37,65
14,70 41 10 116 38 5 12 49 100 74 31 38 108 88,81
14,117 16 14 106 92 66 25 26 55 73 12 100 48 34,72
14,75 107 118 11 93 105 20 114 31 0 63 78 70 28,53
14,40 46 50 69 85 24 86 116 23 85 22 15 117 55,20
14,87 27 112 56 9 117 19 28 73 19 83 114 49 37,93
14,109 1 46 30 111 109 34 91 18 56 99 55 100 28,38
14,56 24 46 92 106 25 57 4 100 59 48 61 4 39,16
14,105 42 91 17 38 76 12 38 70 93 49 12 16 90,103
14,8 34 90 20 48 68 60 101 96 61 48 14 48 51,114
14,11 7 109 11 81 56 2 99 41 72 7 41 20 26,32
14,18 58 90 116 6 62 115 1 0 52 75 11 14 34,5
14,0 103 96 110 39 26 58 55 66 58 92 43 59 45,105
14,5 22 76 111 9 75 0 77 17 112 57 20 103 59,5
14,24 82 92 68 76 100 77 50 80 90 32 13 76 66,10
14,60 51 90 41 24 65 14 5 92 101 39 69 41 73,89
14,84 102 101 89 111 60 34 28 103 47 95 82 3 104,96
14,45 114 106 89 65 43 77 13 74 65 112 64 17 110,85
14,63 36 101 64 65 72 2 65 27 117 58 64 31 18,40
14,15 85 65 102 65 82 110 43 97 44 108 82 10 104,41
14,9 75 38 67 104 73 102 57 106 65 75 49 79 16,76
14,41 45 7 46 84 75 76 43 103 109 78 101 79 109,42
14,70 21 90 12 8 4 99 117 22 49 70 85 94 112,3
14,65 79 26 56 31 68 0 93 42 43 64 6 81 63,87
14,31 80 89 103 73 52 30 104 108 105 101 107 74 117,109
14,21 81 12 1 106 115 20 58 80 47 51 15 25 31,53
14,25 81 32 109 6 96 58 52 50 88 31 35 4 106,101
