length,input,target
9,68 245 434 419 19 350 311 358 62,86
9,178 108 414 467 93 278 447 302 263,354
9,247 434 80 473 387 40 10 264 90,313
9,309 176 473 169 313 382 103 241 217,95
9,26 320 250 38 151 27 422 287 173,262
9,331 468 21 362 479 412 96 87 146,218
9,209 170 10 408 200 357 224 227 123,468
9,438 21 354 54 409 285 207 373 373,422
9,447 131 437 47 426 202 479 115 49,197
9,129 91 421 173 162 315 228 374 358,31
9,235 338 359 56 174 377 301 6 288,382
9,405 33 310 51 53 337 377 391 418,19
9,103 357 80 241 433 160 252 124 169,243
9,332 434 402 73 157 0 247 413 243,29
9,151 415 458 5 223 363 168 335 355,373
9,171 89 263 376 244 165 126 210 126,474
9,347 242 262 65 203 312 185 307 272,131
9,469 259 289 91 440 435 103 124 92,174
9,37 466 31 361 342 264 118 101 427,99
9,99 83 121 330 237 382 189 475 435,359
9,131 246 312 122 393 370 262 89 22,71
9,338 161 41 161 74 455 104 138 237,401
9,422 461 314 194 459 455 283 372 276,124
9,159 339 366 332 137 289 416 165 112,119
9,198 64 429 207 130 311 61 185 353,70
9,292 236 377 295 83 475 246 159 67,190
9,467 134 100 217 412 352 437 206 104,365
9,165 448 182 274 371 473 57 71 61,294
9,219 404 375 59 439 358 100 271 307,468
9,441 362 278 73 457 106 161 40 47,205
9,135 333 377 333 256 124 213 46 386,47
9,103 116 209 396 70 230 187 188 333,344
9,358 342 372 7 309 181 58 452 112,315
9,469 100 346 391 77 131 297 83 204,354
9,90 279 287 174 403 421 91 141 366,72
9,389 25 257 477 355 294 375 343 175,298
9,222 397 110 187 332 4 386 356 63,453
9,122 353 115 181 352 261 335 206 207,172
9,390 276 365 206 46 162 57 225 141,136
9,290 233 36 132 8 238 263 259 155,318
9,340 311 3 319 439 303 81 307 55,178
9,460 58 273 279 169 1 351 393 163,143
9,396 405 16 270 254 80 275 448 72,360
9,282 457 130 47 367 342 412 420 139,56
9,249 128 381 332 10 473 299 250 226,248
9,423 213 424 246 361 126 354 230 420,117
9,293 316 147 348 476 330 226 282 375,325
9,329 448 419 39 259 380 253 3 52,454
9,33 422 178 143 377 351 27 113 65,225
9,18 425 217 268 425 274 90 395 431,203
9,66 182 362 412 414 383 151 326 86,326
9,284 344 86 221 363 162 417 285 159,301
9,355 58 59 272 233 360 45 29 331,294
9,405 345 345 429 273 164 193 261 104,19
9,275 197 205 453 287 34 88 49 454,358
9,352 432 325 401 155 94 448 330 3,228
9,129 187 94 315 239 312 469 224 228,265
9,76 354 179 59 429 150 140 69 430,22
9,277 210 180 340 177 206 247 229 285,363
9,418 194 36 416 251 340 268 304 113,64
9,174 109 196 348 312 66 157 184 57,171
9,33 63 325 331 392 328 157 404 214,15
9,352 50 87 321 426 24 400 352 243,135
9,231 331 108 118 397 291 198 265 376,335
9,196 18 31 292 217 334 323 196 54,65
9,380 128 175 260 401 256 335 47 338,100
9,280 455 446 91 366 231 34 86 189,90
9,242 27 251 229 327 472 327 347 166,268
9,427 362 268 458 308 104 87 57 135,78
9,404 307 226 306 165 59 171 75 309,146
9,409 149 445 362 361 168 103 56 122,171
9,62 50 54 269 374 170 41 207 115,198
9,284 88 124 112 24 246 347 308 433,174
9,166 261 166 358 178 256 104 471 258,410
9,119 399 198 117 128 198 410 54 114,341
9,257 253 251 347 147 57 197 354 426,17
9,155 138 161 205 11 188 273 249 460,464
9,40 154 233 312 376 55 264 455 185,306
9,167 335 60 62 314 148 13 206 287,200
9,154 396 331 138 75 302 82 136 19,465
9,205 66 416 362 215 9 442 183 431,9
9,151 311 80 410 257 264 427 15 314,457
9,407 473 21 241 186 143 204 27 298,424
9,443 391 380 272 364 264 210 191 253,328
9,289 299 212 114 71 255 215 319 168,30
9,242 260 37 444 167 92 476 233 11,398
9,196 59 311 396 119 318 103 274 422,254
9,464 21 59 443 450 138 350 280 478,251
9,404 158 118 367 238 131 149 356 129,382
9,111 129 223 357 411 133 351 186 236,397
9,111 233 428 402 438 476 51 136 238,109
9,374 413 404 367 238 111 264 462 55,368
9,286 258 462 277 153 11 280 114 358,195
9,288 386 473 69 10 227 383 29 448,409
9,374 77 153 436 171 418 281 415 404,453
9,360 452 276 133 383 32 413 368 320,305
9,90 477 0 153 165 26 86 366 312,207
9,327 227 21 413 139 385 353 333 309,459
9,295 228 186 355 372 34 65 406 261,226
9,145 11 416 119 214 258 141 133 387,184
9,84 200 221 445 42 55 192 117 324,104
9,48 464 264 91 438 169 191 129 192,426
9,384 146 391 395 205 271 442 409 165,244
9,119 179 15 332 181 103 211 335 335,118
9,165 384 355 136 205 475 92 51 369,112
9,120 471 375 370 68 56 399 356 142,333
9,72 293 310 254 15 288 317 372 159,464
9,413 380 19 195 208 428 38 449 99,177
9,473 9 448 19 283 47 195 407 170,67
9,383 175 265 445 218 462 307 94 449,306
9,395 331 426 346 35 428 312 204 226,447
9,75 100 58 254 371 84 371 17 147,465
9,479 182 428 204 203 143 36 136 172,435
9,42 272 320 325 240 43 443 312 452,161
9,87 101 1 345 278 355 121 376 438,170
9,200 387 467 21 139 159 278 235 270,72
9,85 229 20 278 132 182 123 100 20,97
9,172 277 184 273 34 438 182 444 446,230
9,344 142 100 209 151 39 210 76 342,429
9,339 306 478 451 294 432 318 95 137,42
9,276 327 87 12 460 103 146 128 231,370
9,211 440 119 188 95 116 211 179 127,238
9,203 353 79 382 190 341 95 27 337,431
9,97 141 106 187 50 112 42 30 337,158
9,45 120 98 16 364 149 241 328 262,407
9,242 95 6 241 40 82 335 432 320,477
9,95 392 124 451 121 345 279 338 306,319
9,28 5 342 393 283 372 280 443 141,103
9,324 390 408 282 230 382 124 172 439,299
9,51 128 222 28 72 162 17 174 50,100
9,479 372 390 244 341 360 338 34 93,407
9,113 131 53 388 214 273 110 369 234,445
9,111 202 293 296 39 367 342 191 137,10
9,187 450 358 410 409 263 236 464 41,226
9,107 157 460 140 411 307 364 74 79,51
9,226 306 358 304 288 36 79 7 83,471
9,469 439 383 125 476 14 317 451 180,98
9,310 52 84 475 313 147 99 415 357,200
9,111 373 328 461 341 87 466 58 433,90
9,119 325 89 171 356 137 320 270 45,120
9,258 201 277 153 419 23 243 151 354,211
9,334 262 65 41 189 113 104 69 334,179
9,220 119 27 50 457 221 146 72 130,470
9,335 242 284 23 261 344 226 83 173,299
9,48 224 44 331 352 345 422 446 7,71
9,49 376 466 180 209 36 283 322 52,413
9,451 58 349 31 18 158 314 84 86,457
9,222 439 315 182 38 290 217 341 439,59
9,371 16 228 118 59 34 434 457 66,47
9,127 180 382 118 297 365 2 90 473,302
9,130 342 322 318 420 101 48 420 274,147
9,94 336 103 349 285 361 236 373 459,280
9,366 243 440 256 134 395 21 109 125,269
9,162 97 34 231 23 354 229 361 403,94
9,45 295 73 125 40 183 255 235 303,230
9,12 336 129 343 280 197 37 290 270,66
9,394 435 456 471 163 292 104 356 272,123
9,335 367 292 66 63 147 186 329 461,302
9,174 24 83 74 55 475 288 272 428,373
9,228 264 156 389 271 172 215 102 342,63
9,277 291 368 92 38 449 5 165 312,57
